# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	48	11	26	8579	1	0	0	0	4355	48	25	0	0	4	0	11	4224
M	GU280_gp05	GU280_gp05	protein_coding	177	111	225	8080	0	0	0	0	3823	177	225	0	0	4	0	111	4257
N	GU280_gp10	GU280_gp10	protein_coding	281	626	1095	5848	0	0	0	0	603	281	1095	0	0	6	0	626	5245
ORF10	GU280_gp11	GU280_gp11	protein_coding	39	25	17	5889	3	0	0	0	449	35	17	1	3	0	1	25	5440
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	5375	4298	5425	5844	13	0	104	5	4273	5335	5304	1	0	389	0	4298	1571
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	3306	2771	2526	6853	12	0	104	4	5282	3282	2406	0	0	222	0	2771	1571
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	153	122	69	5783	8	0	11	0	4212	152	50	0	0	1	0	122	1571
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	484	137	998	5251	2	0	88	0	3336	483	908	1	0	21	0	137	1915
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	1496	1532	603	6592	0	0	5	0	3058	1492	598	0	0	105	0	1532	3534
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	357	815	169	5738	0	0	0	0	3836	356	169	0	0	33	0	815	1902
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	194	54	112	6567	0	0	0	0	3894	194	112	0	0	16	0	54	2673
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	214	60	482	6104	0	0	0	4	3431	212	478	1	0	14	0	60	2673
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	64	10	25	6514	0	0	0	0	3422	64	25	0	0	0	0	10	3092
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	130	11	29	6698	2	0	0	0	3629	128	27	0	0	2	0	11	3069
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	96	18	15	7667	0	0	0	0	4637	96	15	4	0	8	0	18	3030
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	114	12	20	8305	0	0	0	0	5268	101	20	12	0	22	0	12	3037
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	663	529	1482	6759	0	0	0	0	3720	654	1482	1	0	65	0	529	3039
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	445	208	1166	6078	0	0	0	0	2635	443	1166	0	0	44	0	208	3443
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	516	619	110	8025	0	0	0	0	3386	512	110	0	0	20	0	619	4639
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	245	141	102	7762	1	0	0	1	3764	244	101	0	0	22	0	141	3998
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	204	30	43	8030	0	0	0	0	4273	204	43	3	0	16	0	30	3757
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	4	0	4	8305	0	0	0	0	5266	4	4	0	0	0	0	0	3039
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	153	122	69	5783	8	0	11	0	4212	152	50	0	0	1	0	122	1571
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	484	137	998	5251	2	0	88	0	3336	483	908	1	0	21	0	137	1915
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	1496	1532	603	6592	0	0	5	0	3058	1492	598	0	0	105	0	1532	3534
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	357	815	169	5738	0	0	0	0	3836	356	169	0	0	33	0	815	1902
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	194	54	112	6567	0	0	0	0	3894	194	112	0	0	16	0	54	2673
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	214	60	482	6104	0	0	0	4	3431	212	478	1	0	14	0	60	2673
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	64	10	25	6514	0	0	0	0	3422	64	25	0	0	0	0	10	3092
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	130	11	29	6698	2	0	0	0	3629	128	27	0	0	2	0	11	3069
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	96	18	15	7667	0	0	0	0	4637	96	15	4	0	8	0	18	3030
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	114	12	20	8305	0	0	0	0	5268	101	20	12	0	22	0	12	3037
ORF3a	GU280_gp03	GU280_gp03	protein_coding	211	48	911	7773	1	0	1	0	4459	210	909	0	0	17	0	48	3314
ORF6	GU280_gp06	GU280_gp06	protein_coding	52	28	24	8156	1	0	0	0	3717	50	23	0	0	10	0	28	4439
